State,Specialty,Count,state_total,specialty_total,expected,location_quotient
IN,Student in an Organized Health Care Education/Training Program,909,26170,66661.0,1263.9312593824807,0.7191846813284059
AL,Nurse Practitioner,4624,17811,258700.0,3338.355943058848,1.3851129354897818
MI,Podiatry,633,46434,15771.0,530.5706678297562,1.1930550224143002
WI,Dentist,2292,25408,131246.0,2416.041917590666,0.948659037458107
AZ,Student in an Organized Health Care Education/Training Program,810,29429,66661.0,1421.3310291313344,0.5698883535210248
MO,Psychiatry & Neurology,321,25377,15996.0,294.10308701725506,1.0914540314946333
MO,Emergency Medicine,1053,25377,54586.0,1003.620349332576,1.0492015239629828
MA,Optometry,646,39945,33182.0,960.3131864787948,0.6726972086769993
GA,Student in an Organized Health Care Education/Training Program,1179,36843,66661.0,1779.4046384955573,0.6625811659099728
PR,Pharmacist,917,11379,36112.0,297.7169403404645,3.080106892645521
NY,Certified Nurse Midwife,267,104092,2911.0,219.5368691640246,1.2161966280047194
MN,Physician Assistant,3171,25375,129409.0,2379.1314612326046,1.3328393372416403
UT,Internal Medicine,662,11191,128195.0,1039.412392264489,0.6368983138230158
OH,Internal Medicine,4566,53444,128195.0,4963.842006271409,0.9198520005735943
IL,Psychiatry & Neurology,758,53002,15996.0,614.2590463052588,1.2340070603100382
VT,Student in an Organized Health Care Education/Training Program,176,2878,66661.0,138.99863066498966,1.2661995241103485
KY,Student in an Organized Health Care Education/Training Program,526,19073,66661.0,921.1677841116566,0.5710143245046904
NY,Emergency Medicine,3875,104092,54586.0,4116.674524282874,0.9412937498805608
OH,Family Practice,4276,53444,116485.0,4510.418784668085,0.9480272684512296
VA,Pharmacist,816,32413,36112.0,848.0445722168447,0.9622135754809702
VA,Physician Assistant,3224,32413,129409.0,3039.0064257313265,1.0608730447893526
NV,Physician Assistant,980,10293,129409.0,965.0601036637319,1.0154807936620223
NJ,Student in an Organized Health Care Education/Training Program,725,36308,66661.0,1753.5657686533857,0.413443289644476
GA,Dermatology,342,36843,14371.0,383.6099677445531,0.8915305355874868
ID,Nurse Practitioner,1441,7492,258700.0,1404.242475178086,1.0261760525490817
NV,Pharmacist,114,10293,36112.0,269.30314323968724,0.4233147769037989
CT,Registered Nurse,14,19551,765.0,10.836232604373757,1.291961930971219
ND,Nurse Practitioner,916,3423,258700.0,641.5806183308314,1.427723927170855
AR,Optometry,397,11827,33182.0,284.33155730340985,1.3962572560187605
FL,Obstetrics & Gynecology,2041,93928,34222.0,2328.8867494740016,0.8763843928696734
MS,Student in an Organized Health Care Education/Training Program,426,10666,66661.0,515.1353004422444,0.8269672057695878
TX,Pediatric Medicine,575,92813,8801.0,591.8187761187975,0.9715812056030115
FL,Optometry,1883,93928,33182.0,2258.112328941801,0.8338823431704185
IL,Emergency Medicine,2546,53002,54586.0,2096.1455552399884,1.214610308733311
IA,Physician Assistant,1208,13211,129409.0,1238.6485018460664,0.9752564978681294
FL,General Practice,1489,93928,9086.0,618.323447072666,2.408124755820575
DE,Physician Assistant,467,4341,129409.0,407.00727776199943,1.1473996302176241
MD,Physician Assistant,2501,26786,129409.0,2511.425234308435,0.9958488772964386
MD,Pharmacist,1057,26786,36112.0,700.8213343843644,1.508230340802225
MT,Nurse Practitioner,935,4847,258700.0,908.4841533887056,1.0291869115299244
NE,Urology,69,8338,10997.0,66.43302430316062,1.038640054758387
ME,Student in an Organized Health Care Education/Training Program,238,7200,66661.0,347.73806142735424,0.6844232093061243
MN,Pharmacist,208,25375,36112.0,663.9043291272772,0.31329815287305396
WA,Neuropsychiatry,45,32568,2639.0,62.26993143181726,0.7226601822947718
